umap1,umap2,state
0.3463276,7.698441,start
-2.1160457,8.735321,start
-4.750532,7.35297,start
-3.6876485,9.285906,start
-5.313266,11.101251,start
-6.3871922,8.024458,start
-2.5515716,11.105542,start
-1.8300362,8.974112,start
-8.388784,7.785498,start
-6.779291,8.881754,start
-6.4231653,8.871179,start
0.35980603,6.423089,start
-6.7660484,9.265792,start
-3.8738582,11.013705,start
-3.2231336,6.2900133,start
-1.8924556,11.156882,start
-1.7112606,11.037319,start
-6.158136,10.595568,start
-3.3774233,6.478738,start
-6.8189178,6.6195354,start
-6.336038,9.332419,start
-5.7609906,7.33135,start
-3.7771914,8.773445,start
-6.9730453,9.036677,start
-0.5520382,10.448,start
-5.639167,6.9102974,start
-2.5437105,7.306801,start
-6.302201,7.2060943,start
-5.212863,5.4648757,start
-7.6851764,9.840002,start
-0.81248325,8.616461,start
-6.6107936,8.33784,start
-4.8327727,7.5956655,start
-6.5247335,9.0802,start
-6.3005238,8.708534,start
-8.355319,8.467578,start
-7.4694924,8.487155,start
-5.689556,7.1820316,start
0.223739,7.4820366,start
-7.3712697,8.34234,start
-3.1721802,10.563791,start
-5.8379283,6.0013957,start
-4.3916974,6.8578324,start
-4.9672885,5.203112,start
-3.15201,9.09627,start
-4.2824783,8.912319,start
-2.5838192,9.806961,start
-5.9365134,6.871132,start
-2.294495,10.985237,start
-1.8850504,6.1926484,start
-6.8519354,7.8955092,start
0.7115017,8.648543,start
-2.9427974,8.993769,start
-5.422093,9.1095915,start
-4.691629,9.005274,start
-6.370326,7.491733,start
0.1550029,8.705141,start
-4.3055944,9.050302,start
-4.3186846,11.012275,start
-5.6165323,9.312299,start
-5.9604254,11.098734,start
-5.944484,7.8753686,start
-6.1968193,8.3649645,start
0.015982272,9.418517,start
-2.5638528,8.487848,start
-6.221964,5.597357,start
-5.432229,8.831218,start
-3.2566574,11.083362,start
-6.1654315,11.061327,start
-7.8604283,9.196063,start
-3.5565805,5.686323,start
-7.213811,9.643745,start
-3.1123395,11.734688,start
-2.7148144,6.5118036,start
-3.1963303,6.7368937,start
-5.9260235,9.221798,start
-8.424505,7.439713,start
-4.9340396,11.523241,start
-6.543153,10.561661,start
-7.0878353,7.6999836,start
-4.1610336,9.813752,start
-3.277205,5.9801044,start
-1.2497221,9.226863,start
-5.252824,11.623782,start
-7.143241,10.703645,start
-2.1866336,10.405669,start
